
Frequency (Hz),S11_Real,S11_Imag,S12_Real,S12_Imag,S13_Real,S13_Imag,S14_Real,S14_Imag,S21_Real,S21_Imag
8134000000.0,0.1174318,0.7470822,0.9912699,0.3185272,0.9960501,-0.09327274,0.8499998,0.5696228,7.479143e-05,1.793684e-05
8192000000.0,-0.2105944,-0.7156718,0.4861167,0.9274266,0.6487909,0.7636351,0.008970489,1.026272,-2.685966e-05,2.164744e-05
8250000000.0,0.2618767,0.7077304,-0.3233735,0.9787789,-0.2848613,0.9445992,-0.8507028,0.5500293,7.285264e-05,-8.100863e-05
8308000000.0,-0.3548,-0.6515906,-0.9270926,0.4419254,-0.9495636,0.24785,-0.9056147,-0.4459165,2.591039e-06,-8.411135e-06
8366000000.0,0.4007743,0.6266547,-0.9516101,-0.3565237,-0.6783756,-0.6818129,-0.06221952,-0.9970854,-1.591368e-05,6.421134e-05
8424000000.0,-0.4756388,-0.5703573,-0.389991,-0.9327608,0.2749457,-0.9063838,0.8400803,-0.5265056,-2.436638e-05,3.510958e-05
8482000000.0,0.5111889,0.5433618,0.40026,-0.9228829,0.9186254,-0.180541,0.850244,0.4835381,1.416711e-05,4.075556e-05
8540000000.0,-0.5785778,-0.4597598,0.9450232,-0.3290859,0.5779889,0.7335303,-0.04593751,0.9696906,-1.933026e-06,-1.563569e-05
8598000000.0,0.6121398,0.4282388,0.8981596,0.4705179,-0.38659,0.8618219,-0.8957424,0.4101264,-6.546372e-07,2.563663e-05
8656000000.0,-0.660188,-0.3262682,0.2749535,0.9989358,-0.965785,0.06312396,-0.8073021,-0.6171082,3.665855e-06,7.535992e-05
8714000000.0,0.6713285,0.2999825,-0.5263659,0.9249839,-0.5549282,-0.8277394,0.1258478,-1.035634,4.998323e-05,-1.964155e-05
8772000000.0,-0.7149189,-0.1835129,-1.023149,0.2880392,0.4226125,-0.9122686,0.9496056,-0.4316621,-2.268168e-05,-1.20606e-05
8830000000.0,0.7234422,0.1527017,-0.9201843,-0.5170063,0.9956429,-0.1308647,0.8613023,0.5714695,-4.527977e-06,-7.6723e-06
8888000000.0,-0.7376538,-0.03321901,-0.2688267,-0.9958078,0.634591,0.7513331,-0.02448538,1.009342,-2.360085e-05,-1.473222e-05
8946000000.0,0.7443154,0.005812555,0.5360979,-0.867103,-0.2933733,0.9264828,-0.8608871,0.5043046,1.853054e-05,8.909301e-06
9004000000.0,-0.7188661,0.1195588,1.001545,-0.198931,-0.9356331,0.2566627,-0.8909571,-0.4622623,-2.648558e-05,5.691572e-05
9062000000.0,0.7163703,-0.1523825,0.8562985,0.6231107,-0.7383816,-0.6574003,-0.09936395,-1.038093,-5.910281e-06,3.181002e-05
9120000000.0,-0.6777112,0.259297,0.1820632,1.086824,0.1262994,-1.000918,0.816276,-0.7028058,-3.369686e-05,-6.499513e-05
9178000000.0,0.6765178,-0.29438,-0.6313494,0.9153613,0.9071966,-0.4751916,1.053384,0.2620051,9.197072e-06,2.33949e-05
9236000000.0,-0.6337463,0.3737525,-1.07979,0.2132638,0.9007934,0.4696462,0.3771074,1.000558,-1.329152e-05,4.810948e-05
9294000000.0,0.5955381,-0.4268895,-0.8841255,-0.6124027,0.08689549,0.9917858,-0.6322404,0.8280916,-1.178054e-05,-4.319668e-05
9352000000.0,-0.5349311,0.5025181,-0.1621959,-1.052042,-0.7951458,0.5835399,-1.020396,-0.1231122,1.693107e-05,-5.185632e-06
9410000000.0,0.502836,-0.537348,0.6505605,-0.825439,-0.8949116,-0.3947369,-0.3809514,-0.9420301,0.0001238685,1.125778e-05
9468000000.0,-0.4146619,0.5996637,1.057263,-0.07450403,-0.09991495,-0.9922897,0.6589007,-0.8052406,-6.262634e-05,-2.872813e-05
9526000000.0,0.3765485,-0.6192284,0.7358623,0.8186653,0.9666104,-0.3726089,0.9418575,0.5866481,-3.576751e-05,-6.51239e-05
9584000000.0,-0.3096815,0.6589307,-0.06169347,1.1252,0.8766764,0.6011413,0.0674775,1.1273,-1.720742e-05,-8.077054e-06
9642000000.0,0.2374518,-0.6837702,-0.8320237,0.7741159,0.004127354,1.064268,-0.8857569,0.6951413,7.936396e-05,-6.019606e-05
9700000000.0,-0.1737341,0.7111167,-1.123732,-0.03794249,-0.8779653,0.5760385,-1.048387,-0.3575846,5.010938e-06,-3.693243e-05
9758000000.0,0.09016789,-0.7203466,-0.7567768,-0.8068529,-0.9224918,-0.4506412,-0.2203149,-1.059878,5.363205e-05,2.741293e-05
9816000000.0,-0.02474656,0.7269756,0.06167487,-1.080639,-0.09901895,-0.9963795,0.7691169,-0.7243344,3.819399e-05,-3.191097e-05
9874000000.0,-0.06123554,-0.7211411,0.8288585,-0.6915964,0.774815,-0.6240406,1.020282,0.2510017,4.815044e-06,3.574508e-05
9932000000.0,0.1093232,0.7227989,1.070082,0.1297293,0.9327697,0.3221045,0.3230032,0.996883,8.251166e-06,-1.693442e-05
9990000000.0,-0.3276854,-0.6296374,0.7786378,0.7540028,0.3976639,0.9057354,-0.5186082,0.920817,1.445398e-05,1.273587e-05
10048000000.0,0.2623417,0.6800453,-0.1914447,1.074929,-0.7856741,0.657584,-1.05936,-0.2380035,-1.469808e-05,3.378013e-06
10106000000.0,-0.3553228,-0.6237646,-0.9225309,0.6038095,-0.9891353,-0.3833884,-0.2926864,-1.068986,-3.180139e-06,4.566685e-05
10164000000.0,0.3903915,0.612711,-1.0819,-0.2300911,-0.1402813,-1.050946,0.8115043,-0.7576178,5.210121e-05,1.268062e-05
10222000000.0,-0.4697359,-0.5397982,-0.5775563,-0.9269762,0.8686852,-0.5696892,1.014615,0.405218,3.846564e-05,-3.16515e-05
10280000000.0,0.5044766,0.5180541,0.2556027,-1.052775,0.8667391,0.5412619,0.04987813,1.07456,-6.908741e-05,-1.015159e-06
10338000000.0,-0.5697635,-0.4284726,0.9230092,-0.5295944,-0.1550651,0.9874458,-0.9500354,0.4572101,-5.484699e-05,3.32255e-05
10396000000.0,0.6017765,0.4073555,1.019093,0.2995482,-0.9628195,0.2610478,-0.8008745,-0.6763506,-6.020278e-05,5.407058e-05
10454000000.0,-0.6510427,-0.2949673,0.4857911,0.9373486,-0.6513924,-0.7477576,0.2553268,-1.00578,-2.254772e-05,4.985972e-05
10512000000.0,0.6684322,0.2759434,-0.3414421,1.013195,0.3635176,-0.9351804,1.014726,-0.2381738,5.141079e-05,6.193512e-06
10570000000.0,-0.7034125,-0.1534494,-0.9578322,0.4885294,0.9866868,-0.1607635,0.7139718,0.7738759,-4.997086e-05,5.304761e-05
10628000000.0,0.698505,0.1264717,-1.016903,-0.3350421,0.6292913,0.7672047,-0.2870047,1.031717,-2.544035e-05,-4.337519e-05
10686000000.0,-0.7144089,-0.009999678,-0.4865738,-0.9342683,-0.2828485,0.9612147,-0.9977,0.3468051,-2.286813e-05,-2.350896e-05
10744000000.0,0.7194841,-0.01933122,0.3368466,-0.9627831,-0.932579,0.2810996,-0.8039585,-0.6303074,-6.119224e-06,-8.469871e-05
10802000000.0,-0.6986337,0.1293449,0.9201056,-0.4133887,-0.739488,-0.6171827,0.09013978,-1.001974,-9.79567e-06,6.833518e-05
10860000000.0,0.7011022,-0.1560168,0.9158335,0.3879082,0.1128476,-0.9422152,0.876835,-0.4618174,-6.49955e-05,-2.784517e-06
10918000000.0,-0.6586339,0.2798488,0.3493511,0.9371474,0.8512639,-0.4340788,0.873776,0.474929,2.38647e-05,-2.923572e-05
10976000000.0,0.6469883,-0.2968506,-0.4297169,0.9000086,0.8389488,0.4466567,0.108193,0.9861493,-3.183691e-05,0.0001010292
11034000000.0,-0.5960063,0.3906096,-0.9500664,0.3206609,0.11697,0.9402174,-0.7464006,0.6601301,5.936285e-05,-1.806047e-05
11092000000.0,0.5616317,-0.4268157,-0.882295,-0.4391947,-0.6814286,0.6263468,-0.9567925,-0.2133885,-7.267471e-06,-7.311594e-05
11150000000.0,-0.5069671,0.4957024,-0.2803725,-0.9353356,-0.8911853,-0.2176868,-0.3569946,-0.900204,3.189037e-05,3.825914e-05
11208000000.0,0.4642973,-0.5412952,0.4716457,-0.8457204,-0.3236889,-0.8519813,0.5342147,-0.796054,-8.114666e-06,-1.135361e-05
11266000000.0,-0.3940298,0.5869705,0.9296641,-0.2296602,0.5328183,-0.7297581,0.9466656,0.0154776,3.018852e-05,4.261847e-05
11324000000.0,0.3472737,-0.6171721,0.8063658,0.5130189,0.903994,0.04510731,0.4995961,0.8038236,1.232887e-05,-9.437606e-05
11382000000.0,-0.2732808,0.6561936,0.1744263,0.9306895,0.4431807,0.7809915,-0.4119061,0.8447162,-1.938154e-05,-5.812763e-05
11440000000.0,0.2012311,-0.6706134,-0.561572,0.7684689,-0.4433382,0.7876018,-0.9420257,0.07637892,5.188199e-05,3.516798e-06
11498000000.0,-0.1417055,0.6971561,-0.9402194,0.117289,-0.8998873,-0.0003841375,-0.5219119,-0.7847761,-2.789288e-05,-4.979649e-05
